Abiotrophia defectiva,bacteria
Achromobacter xylosoxidans,bacteria
Acinetobacter baumannii,bacteria
Aeromonas caviae,bacteria
Aeromonas hydrophila,bacteria
Aeromonas veronii,bacteria
Aggregatibacter actinomycetemcomitans,bacteria
Aggregatibacter aphrophilus,bacteria
Anaerococcus prevotii,bacteria
Bacillus cereus,bacteria
Bacillus licheniformis,bacteria
Blastocystis hominis,eukaryota
Brachyspira hyodysenteriae,bacteria
Campylobacter coli,bacteria
Campylobacter curvus,bacteria
Campylobacter fetus,bacteria
Campylobacter jejuni,bacteria
Campylobacter lari,bacteria
Candida albicans,eukaryota
Candida dubliniensis,eukaryota
[Candida] glabrata,eukaryota
Candida tropicalis,eukaryota
Citrobacter freundii,bacteria
Clostridioides difficile,bacteria
Clostridium botulinum,bacteria
Clostridium perfringens,bacteria
Clostridium septicum,bacteria
Clostridium tetani,bacteria
Corynebacterium diphtheriae,bacteria
Corynebacterium striatum,bacteria
Cronobacter sakazakii,bacteria
Dientamoeba fragilis,eukaryota
Elizabethkingia anophelis,bacteria
Elizabethkingia meningoseptica,bacteria
Entamoeba histolytica,eukaryota
Enterobacter cloacae,bacteria
Enterococcus avium,bacteria
Enterococcus faecalis,bacteria
Enterococcus faecium,bacteria
Enterococcus gallinarum,bacteria
Enterocytozoon bieneusi,eukaryota
Erysipelothrix rhusiopathiae,bacteria
Escherichia coli,bacteria
Finegoldia magna,bacteria
Fusobacterium necrophorum,bacteria
Fusobacterium nucleatum,bacteria
Gardnerella vaginalis,bacteria
Giardia intestinalis,eukaryota
[Haemophilus] ducreyi,bacteria
Haemophilus influenzae,bacteria
Haemophilus parainfluenzae,bacteria
Helicobacter pylori,bacteria
Human betaherpesvirus 5,viruses
Human mastadenovirus B,viruses
Human mastadenovirus C,viruses
Human mastadenovirus D,viruses
Human polyomavirus 4,viruses
Klebsiella aerogenes,bacteria
Klebsiella oxytoca,bacteria
Klebsiella pneumoniae,bacteria
Listeria monocytogenes,bacteria
Morganella morganii,bacteria
Mycobacterium tuberculosis,bacteria
Mycoplasma hominis,bacteria
Mycoplasma penetrans,bacteria
Orf virus,viruses
Paraclostridium bifermentans,bacteria
Parvimonas micra,bacteria
Pasteurella multocida,bacteria
Peptostreptococcus anaerobius,bacteria
Pichia kudriavzevii,eukaryota
Porphyromonas gingivalis,bacteria
Prevotella bivia,bacteria
Prevotella intermedia,bacteria
Prevotella melaninogenica,bacteria
Proteus mirabilis,bacteria
Providencia alcalifaciens,bacteria
Providencia rettgeri,bacteria
Pseudomonas aeruginosa,bacteria
Pseudomonas putida,bacteria
Rhizopus oryzae,eukaryota
Rothia dentocariosa,bacteria
Saccharomyces cerevisiae,eukaryota
Salmonella enterica,bacteria
Schistosoma mansoni,eukaryota
Serratia marcescens,bacteria
Shewanella algae,bacteria
Shigella boydii,bacteria
Shigella dysenteriae,bacteria
Shigella flexneri,bacteria
Shigella sonnei,bacteria
Staphylococcus aureus,bacteria
Staphylococcus epidermidis,bacteria
Staphylococcus haemolyticus,bacteria
Staphylococcus pseudintermedius,bacteria
Stenotrophomonas maltophilia,bacteria
Streptobacillus moniliformis,bacteria
Streptococcus agalactiae,bacteria
Streptococcus anginosus,bacteria
Streptococcus dysgalactiae,bacteria
Streptococcus equi,bacteria
Streptococcus equinus,bacteria
Streptococcus gordonii,bacteria
Streptococcus iniae,bacteria
Streptococcus mitis,bacteria
Streptococcus mutans,bacteria
Streptococcus oralis,bacteria
Streptococcus pneumoniae,bacteria
Streptococcus pyogenes,bacteria
Streptococcus sanguinis,bacteria
Streptococcus sobrinus,bacteria
Streptococcus suis,bacteria
Tannerella forsythia,bacteria
Trichomonas vaginalis,eukaryota
Ureaplasma parvum,bacteria
Ureaplasma urealyticum,bacteria
Vibrio parahaemolyticus,bacteria
Yersinia pestis,bacteria
